zipcode,city,state_id,state,country
1890,Winchester,MA,Massachusetts,USA
1901,Lynn,MA,Massachusetts,USA
1902,Lynn,MA,Massachusetts,USA
1904,Lynn,MA,Massachusetts,USA
1905,Lynn,MA,Massachusetts,USA
1906,Saugus,MA,Massachusetts,USA
1907,Swampscott,MA,Massachusetts,USA
1908,Nahant,MA,Massachusetts,USA
1913,Amesbury,MA,Massachusetts,USA
1915,Beverly,MA,Massachusetts,USA
1921,Boxford,MA,Massachusetts,USA
1922,Byfield,MA,Massachusetts,USA
1923,Danvers,MA,Massachusetts,USA
1929,Essex,MA,Massachusetts,USA
1930,Gloucester,MA,Massachusetts,USA
1937,Hathorne,MA,Massachusetts,USA
1938,Ipswich,MA,Massachusetts,USA
1940,Lynnfield,MA,Massachusetts,USA
1944,Manchester,MA,Massachusetts,USA
1945,Marblehead,MA,Massachusetts,USA
1949,Middleton,MA,Massachusetts,USA
1950,Newburyport,MA,Massachusetts,USA
1951,Newbury,MA,Massachusetts,USA
1952,Salisbury,MA,Massachusetts,USA
1960,Peabody,MA,Massachusetts,USA
1966,Rockport,MA,Massachusetts,USA
1969,Rowley,MA,Massachusetts,USA
1970,Salem,MA,Massachusetts,USA
1982,South Hamilton,MA,Massachusetts,USA
1983,Topsfield,MA,Massachusetts,USA
1984,Wenham,MA,Massachusetts,USA
1985,West Newbury,MA,Massachusetts,USA
2019,Bellingham,MA,Massachusetts,USA
2021,Canton,MA,Massachusetts,USA
2025,Cohasset,MA,Massachusetts,USA
2026,Dedham,MA,Massachusetts,USA
2030,Dover,MA,Massachusetts,USA
2032,East Walpole,MA,Massachusetts,USA
2035,Foxboro,MA,Massachusetts,USA
2038,Franklin,MA,Massachusetts,USA
2043,Hingham,MA,Massachusetts,USA
2045,Hull,MA,Massachusetts,USA
2047,Humarock,MA,Massachusetts,USA
2048,Mansfield,MA,Massachusetts,USA
2050,Marshfield,MA,Massachusetts,USA
2052,Medfield,MA,Massachusetts,USA
2053,Medway,MA,Massachusetts,USA
2054,Millis,MA,Massachusetts,USA
2056,Norfolk,MA,Massachusetts,USA
2061,Norwell,MA,Massachusetts,USA
2062,Norwood,MA,Massachusetts,USA
2066,Scituate,MA,Massachusetts,USA
2067,Sharon,MA,Massachusetts,USA
2071,South Walpole,MA,Massachusetts,USA
2072,Stoughton,MA,Massachusetts,USA
2081,Walpole,MA,Massachusetts,USA
2090,Westwood,MA,Massachusetts,USA
2093,Wrentham,MA,Massachusetts,USA
2108,Boston,MA,Massachusetts,USA
2109,Boston,MA,Massachusetts,USA
2110,Boston,MA,Massachusetts,USA
2111,Boston,MA,Massachusetts,USA
2113,Boston,MA,Massachusetts,USA
2114,Boston,MA,Massachusetts,USA
2115,Boston,MA,Massachusetts,USA
2116,Boston,MA,Massachusetts,USA
2118,Boston,MA,Massachusetts,USA
2119,Roxbury,MA,Massachusetts,USA
2120,Roxbury Crossing,MA,Massachusetts,USA
2121,Dorchester,MA,Massachusetts,USA
2122,Dorchester,MA,Massachusetts,USA
2124,Dorchester Center,MA,Massachusetts,USA
2125,Dorchester,MA,Massachusetts,USA
2126,Mattapan,MA,Massachusetts,USA
2127,South Boston,MA,Massachusetts,USA
2128,East Boston,MA,Massachusetts,USA
2129,Charlestown,MA,Massachusetts,USA
2130,Jamaica Plain,MA,Massachusetts,USA
2131,Roslindale,MA,Massachusetts,USA
2132,West Roxbury,MA,Massachusetts,USA
2134,Allston,MA,Massachusetts,USA
2135,Brighton,MA,Massachusetts,USA
2136,Hyde Park,MA,Massachusetts,USA
2138,Cambridge,MA,Massachusetts,USA
2139,Cambridge,MA,Massachusetts,USA
2140,Cambridge,MA,Massachusetts,USA
2141,Cambridge,MA,Massachusetts,USA
2142,Cambridge,MA,Massachusetts,USA
2143,Somerville,MA,Massachusetts,USA
2144,Somerville,MA,Massachusetts,USA
2145,Somerville,MA,Massachusetts,USA
2148,Malden,MA,Massachusetts,USA
2149,Everett,MA,Massachusetts,USA
2150,Chelsea,MA,Massachusetts,USA
2151,Revere,MA,Massachusetts,USA
2152,Winthrop,MA,Massachusetts,USA
2155,Medford,MA,Massachusetts,USA
2163,Boston,MA,Massachusetts,USA
2169,Quincy,MA,Massachusetts,USA
2170,Quincy,MA,Massachusetts,USA
2171,Quincy,MA,Massachusetts,USA
2176,Melrose,MA,Massachusetts,USA
2180,Stoneham,MA,Massachusetts,USA
2184,Braintree,MA,Massachusetts,USA
2186,Milton,MA,Massachusetts,USA
2188,Weymouth,MA,Massachusetts,USA
2189,East Weymouth,MA,Massachusetts,USA
2190,South Weymouth,MA,Massachusetts,USA
2191,North Weymouth,MA,Massachusetts,USA
2199,Boston,MA,Massachusetts,USA
2203,Boston,MA,Massachusetts,USA
2210,Boston,MA,Massachusetts,USA
2215,Boston,MA,Massachusetts,USA
2301,Brockton,MA,Massachusetts,USA
2302,Brockton,MA,Massachusetts,USA
2322,Avon,MA,Massachusetts,USA
2324,Bridgewater,MA,Massachusetts,USA
2330,Carver,MA,Massachusetts,USA
2332,Duxbury,MA,Massachusetts,USA
2333,East Bridgewater,MA,Massachusetts,USA
2338,Halifax,MA,Massachusetts,USA
2339,Hanover,MA,Massachusetts,USA
2341,Hanson,MA,Massachusetts,USA
2343,Holbrook,MA,Massachusetts,USA
2346,Middleboro,MA,Massachusetts,USA
2347,Lakeville,MA,Massachusetts,USA
2351,Abington,MA,Massachusetts,USA
2356,North Easton,MA,Massachusetts,USA
2357,North Easton,MA,Massachusetts,USA
2359,Pembroke,MA,Massachusetts,USA
2360,Plymouth,MA,Massachusetts,USA
2364,Kingston,MA,Massachusetts,USA
2366,South Carver,MA,Massachusetts,USA
2367,Plympton,MA,Massachusetts,USA
2368,Randolph,MA,Massachusetts,USA
2370,Rockland,MA,Massachusetts,USA
2375,South Easton,MA,Massachusetts,USA
2379,West Bridgewater,MA,Massachusetts,USA
2382,Whitman,MA,Massachusetts,USA
2420,Lexington,MA,Massachusetts,USA
2421,Lexington,MA,Massachusetts,USA
2445,Brookline,MA,Massachusetts,USA
2446,Brookline,MA,Massachusetts,USA
2451,Waltham,MA,Massachusetts,USA
2452,Waltham,MA,Massachusetts,USA
2453,Waltham,MA,Massachusetts,USA
2457,Babson Park,MA,Massachusetts,USA
2458,Newton,MA,Massachusetts,USA
2459,Newton Center,MA,Massachusetts,USA
2460,Newtonville,MA,Massachusetts,USA
2461,Newton Highlands,MA,Massachusetts,USA
2462,Newton Lower Falls,MA,Massachusetts,USA
2464,Newton Upper Falls,MA,Massachusetts,USA
2465,West Newton,MA,Massachusetts,USA
2466,Auburndale,MA,Massachusetts,USA
